N,Sensitivity,Specificity,Accuracy,Macro F1,
71,0.981818181818182,0.981818181818182,0.985401459854015,0.984716644355199,
72,0.981818181818182,0.981818181818182,0.985401459854015,0.984716644355199,
73,0.969227313566936,0.969227313566936,0.970802919708029,0.969227313566936,
74,0.969227313566936,0.969227313566936,0.970802919708029,0.969227313566936,
75,0.975457385095939,0.975457385095939,0.978102189781022,0.976999272483071,
76,0.981818181818182,0.981818181818182,0.985401459854015,0.984716644355199,
77,0.969227313566936,0.969227313566936,0.970802919708029,0.969227313566936,
78,0.969227313566936,0.969227313566936,0.970802919708029,0.969227313566936,
79,0.969227313566936,0.969227313566936,0.970802919708029,0.969227313566936,
80,0.969227313566936,0.969227313566936,0.970802919708029,0.969227313566936,
81,0.969227313566936,0.969227313566936,0.970802919708029,0.969227313566936,
82,0.969227313566936,0.969227313566936,0.970802919708029,0.969227313566936,
83,0.969227313566936,0.969227313566936,0.970802919708029,0.969227313566936,
84,0.975457385095939,0.975457385095939,0.978102189781022,0.976999272483071,
85,0.975457385095939,0.975457385095939,0.978102189781022,0.976999272483071,
86,0.975457385095939,0.975457385095939,0.978102189781022,0.976999272483071,
87,0.969227313566936,0.969227313566936,0.970802919708029,0.969227313566936,
88,0.969227313566936,0.969227313566936,0.970802919708029,0.969227313566936,
89,0.975457385095939,0.975457385095939,0.978102189781022,0.976999272483071,
90,0.975457385095939,0.975457385095939,0.978102189781022,0.976999272483071,
91,0.975457385095939,0.975457385095939,0.978102189781022,0.976999272483071,
92,0.981818181818182,0.981818181818182,0.985401459854015,0.984716644355199,
93,0.969227313566936,0.969227313566936,0.970802919708029,0.969227313566936,
94,0.981818181818182,0.981818181818182,0.985401459854015,0.984716644355199,
95,0.981818181818182,0.981818181818182,0.985401459854015,0.984716644355199,
96,0.981818181818182,0.981818181818182,0.985401459854015,0.984716644355199,
97,0.981818181818182,0.981818181818182,0.985401459854015,0.984716644355199,
98,0.981818181818182,0.981818181818182,0.985401459854015,0.984716644355199,
99,0.975457385095939,0.975457385095939,0.978102189781022,0.976999272483071,
100,0.981818181818182,0.981818181818182,0.985401459854015,0.984716644355199,
,,,,,
,0.981818181818182,0.981818181818182,0.985401459854015,0.984716644355199,max
,0.974853464825323,0.974853464825323,0.977347092876919,0.976178335926365,avg
